,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
834,That purple light scarcely scares the girl nowadays.,Those purple lights scarcely scare the girl nowadays.,That light,Those lights,That,Those,purple,purple,light,lights,scarcely,scarcely,scares,scare,"['the', 'girl']","['the', 'girl']",0,834,8
835,Those false bananas barely disturb the plumbers nowadays.,That false banana barely disturbs the plumbers nowadays.,Those bananas,That banana,Those,That,false,false,bananas,banana,barely,barely,disturb,disturbs,"['the', 'plumbers']","['the', 'plumbers']",1,835,8
836,These old patients sometimes bite the hairdressers nowadays.,This old patient sometimes bites the hairdressers nowadays.,These patients,This patient,These,This,old,old,patients,patient,sometimes,sometimes,bite,bites,"['the', 'hairdressers']","['the', 'hairdressers']",1,836,8
838,This black blouse hardly stuns the girls nowadays.,These black blouses hardly stun the girls nowadays.,This blouse,These blouses,This,These,black,black,blouse,blouses,hardly,hardly,stuns,stun,"['the', 'girls']","['the', 'girls']",0,838,8
839,These young podiatrists sometimes question the guests nowadays.,This young podiatrist sometimes questions the guests nowadays.,These podiatrists,This podiatrist,These,This,young,young,podiatrists,podiatrist,sometimes,sometimes,question,questions,"['the', 'guests']","['the', 'guests']",1,839,8
841,That mean handyman ever astounds the senators nowadays.,Those mean handymen ever astound the senators nowadays.,That handyman,Those handymen,That,Those,mean,mean,handyman,handymen,ever,ever,astounds,astound,"['the', 'senators']","['the', 'senators']",0,841,8
842,This happy dentist sometimes ascends the slopes nowadays.,These happy dentists sometimes ascend the slopes nowadays.,This dentist,These dentists,This,These,happy,happy,dentist,dentists,sometimes,sometimes,ascends,ascend,"['the', 'slopes']","['the', 'slopes']",0,842,8
843,That concealed lady always sweeps the floors nowadays.,Those concealed ladies always sweep the floors nowadays.,That lady,Those ladies,That,Those,concealed,concealed,lady,ladies,always,always,sweeps,sweep,"['the', 'floors']","['the', 'floors']",0,843,8
844,Those healthy students seldom grow the broccoli nowadays.,That healthy student seldom grows the broccoli nowadays.,Those students,That student,Those,That,healthy,healthy,students,student,seldom,seldom,grow,grows,"['the', 'broccoli']","['the', 'broccoli']",1,844,8
845,This wet podiatrist scarcely discovers the casseroles nowadays.,These wet podiatrists scarcely discover the casseroles nowadays.,This podiatrist,These podiatrists,This,These,wet,wet,podiatrist,podiatrists,scarcely,scarcely,discovers,discover,"['the', 'casseroles']","['the', 'casseroles']",0,845,8
846,Those authentic students seldom examine the documentaries nowadays.,That authentic student seldom examines the documentaries nowadays.,Those students,That student,Those,That,authentic,authentic,students,student,seldom,seldom,examine,examines,"['the', 'documentaries']","['the', 'documentaries']",1,846,8
847,Those concealed handymen ever watch the man nowadays.,That concealed handyman ever watches the man nowadays.,Those handymen,That handyman,Those,That,concealed,concealed,handymen,handyman,ever,ever,watch,watches,"['the', 'man']","['the', 'man']",1,847,8
848,These disorganized museums often upset the associate nowadays.,This disorganized museum often upsets the associate nowadays.,These museums,This museum,These,This,disorganized,disorganized,museums,museum,often,often,upset,upsets,"['the', 'associate']","['the', 'associate']",1,848,8
849,Those small waitresses seldom tour the library nowadays.,That small waitress seldom tours the library nowadays.,Those waitresses,That waitress,Those,That,small,small,waitresses,waitress,seldom,seldom,tour,tours,"['the', 'library']","['the', 'library']",1,849,8
850,These attractive partners hardly drive the carts nowadays.,This attractive partner hardly drives the carts nowadays.,These partners,This partner,These,This,attractive,attractive,partners,partner,hardly,hardly,drive,drives,"['the', 'carts']","['the', 'carts']",1,850,8
851,These tiny guys hardly admire the skirt nowadays.,This tiny guy hardly admires the skirt nowadays.,These guys,This guy,These,This,tiny,tiny,guys,guy,hardly,hardly,admire,admires,"['the', 'skirt']","['the', 'skirt']",1,851,8
853,That authentic guy scarcely destroys the fork nowadays.,Those authentic guys scarcely destroy the fork nowadays.,That guy,Those guys,That,Those,authentic,authentic,guy,guys,scarcely,scarcely,destroys,destroy,"['the', 'fork']","['the', 'fork']",0,853,8
854,That large contractor sometimes cleans the libraries nowadays.,Those large contractors sometimes clean the libraries nowadays.,That contractor,Those contractors,That,Those,large,large,contractor,contractors,sometimes,sometimes,cleans,clean,"['the', 'libraries']","['the', 'libraries']",0,854,8
855,These false universities seldom help the association nowadays.,This false university seldom helps the association nowadays.,These universities,This university,These,This,false,false,universities,university,seldom,seldom,help,helps,"['the', 'association']","['the', 'association']",1,855,8
856,Those unlucky oncologists rarely keep the horse nowadays.,That unlucky oncologist rarely keeps the horse nowadays.,Those oncologists,That oncologist,Those,That,unlucky,unlucky,oncologists,oncologist,rarely,rarely,keep,keeps,"['the', 'horse']","['the', 'horse']",1,856,8
857,That fat boy barely overwhelms the pedestrian nowadays.,Those fat boys barely overwhelm the pedestrian nowadays.,That boy,Those boys,That,Those,fat,fat,boy,boys,barely,barely,overwhelms,overwhelm,"['the', 'pedestrian']","['the', 'pedestrian']",0,857,8
858,Those skinny lawyers scarcely discover the tune nowadays.,That skinny lawyer scarcely discovers the tune nowadays.,Those lawyers,That lawyer,Those,That,skinny,skinny,lawyers,lawyer,scarcely,scarcely,discover,discovers,"['the', 'tune']","['the', 'tune']",1,858,8
859,These hot senators hardly keep the hair nowadays.,This hot senator hardly keeps the hair nowadays.,These senators,This senator,These,This,hot,hot,senators,senator,hardly,hardly,keep,keeps,"['the', 'hair']","['the', 'hair']",1,859,8
861,Those terrible hairdressers barely sweep the room nowadays.,That terrible hairdresser barely sweeps the room nowadays.,Those hairdressers,That hairdresser,Those,That,terrible,terrible,hairdressers,hairdresser,barely,barely,sweep,sweeps,"['the', 'room']","['the', 'room']",1,861,8
864,Those lost pedestrians rarely approach the hairdressers nowadays.,That lost pedestrian rarely approaches the hairdressers nowadays.,Those pedestrians,That pedestrian,Those,That,lost,lost,pedestrians,pedestrian,rarely,rarely,approach,approaches,"['the', 'hairdressers']","['the', 'hairdressers']",1,864,8
865,This wet cup barely distracts the waiter nowadays.,These wet cups barely distract the waiter nowadays.,This cup,These cups,This,These,wet,wet,cup,cups,barely,barely,distracts,distract,"['the', 'waiter']","['the', 'waiter']",0,865,8
866,These damp glaciers always aid the dancers nowadays.,This damp glacier always aids the dancers nowadays.,These glaciers,This glacier,These,This,damp,damp,glaciers,glacier,always,always,aid,aids,"['the', 'dancers']","['the', 'dancers']",1,866,8
868,Those ordinary melodies hardly confuse the person nowadays.,That ordinary melody hardly confuses the person nowadays.,Those melodies,That melody,Those,That,ordinary,ordinary,melodies,melody,hardly,hardly,confuse,confuses,"['the', 'person']","['the', 'person']",1,868,8
869,These youthful plumbers sometimes catch the dentists nowadays.,This youthful plumber sometimes catches the dentists nowadays.,These plumbers,This plumber,These,This,youthful,youthful,plumbers,plumber,sometimes,sometimes,catch,catches,"['the', 'dentists']","['the', 'dentists']",1,869,8
872,That serious actor rarely investigates the student nowadays.,Those serious actors rarely investigate the student nowadays.,That actor,Those actors,That,Those,serious,serious,actor,actors,rarely,rarely,investigates,investigate,"['the', 'student']","['the', 'student']",0,872,8
874,That brown window rarely disturbs the patients nowadays.,Those brown windows rarely disturb the patients nowadays.,That window,Those windows,That,Those,brown,brown,window,windows,rarely,rarely,disturbs,disturb,"['the', 'patients']","['the', 'patients']",0,874,8
875,This sad dentist hardly conceals the sketches nowadays.,These sad dentists hardly conceal the sketches nowadays.,This dentist,These dentists,This,These,sad,sad,dentist,dentists,hardly,hardly,conceals,conceal,"['the', 'sketches']","['the', 'sketches']",0,875,8
876,Those old guys scarcely write the documentaries nowadays.,That old guy scarcely writes the documentaries nowadays.,Those guys,That guy,Those,That,old,old,guys,guy,scarcely,scarcely,write,writes,"['the', 'documentaries']","['the', 'documentaries']",1,876,8
877,That real company sometimes forgets the doctor nowadays.,Those real companies sometimes forget the doctor nowadays.,That company,Those companies,That,Those,real,real,company,companies,sometimes,sometimes,forgets,forget,"['the', 'doctor']","['the', 'doctor']",0,877,8
879,This good adult rarely visits the guest nowadays.,These good adults rarely visit the guest nowadays.,This adult,These adults,This,These,good,good,adult,adults,rarely,rarely,visits,visit,"['the', 'guest']","['the', 'guest']",0,879,8
880,These standing children ever alarm the government nowadays.,This standing child ever alarms the government nowadays.,These children,This child,These,This,standing,standing,children,child,ever,ever,alarm,alarms,"['the', 'government']","['the', 'government']",1,880,8
881,These displeased waiters ever describe the teenager nowadays.,This displeased waiter ever describes the teenager nowadays.,These waiters,This waiter,These,This,displeased,displeased,waiters,waiter,ever,ever,describe,describes,"['the', 'teenager']","['the', 'teenager']",1,881,8
882,This unemployed waitress hardly throws the boat nowadays.,These unemployed waitresses hardly throw the boat nowadays.,This waitress,These waitresses,This,These,unemployed,unemployed,waitress,waitresses,hardly,hardly,throws,throw,"['the', 'boat']","['the', 'boat']",0,882,8
883,These lucky actors often sell the icicle nowadays.,This lucky actor often sells the icicle nowadays.,These actors,This actor,These,This,lucky,lucky,actors,actor,often,often,sell,sells,"['the', 'icicle']","['the', 'icicle']",1,883,8
884,That good mirror seldom hurts the students nowadays.,Those good mirrors seldom hurt the students nowadays.,That mirror,Those mirrors,That,Those,good,good,mirror,mirrors,seldom,seldom,hurts,hurt,"['the', 'students']","['the', 'students']",0,884,8
885,That dirty library barely discusses the teacher nowadays.,Those dirty libraries barely discuss the teacher nowadays.,That library,Those libraries,That,Those,dirty,dirty,library,libraries,barely,barely,discusses,discuss,"['the', 'teacher']","['the', 'teacher']",0,885,8
886,These fake customers seldom kiss the student nowadays.,This fake customer seldom kisses the student nowadays.,These customers,This customer,These,This,fake,fake,customers,customer,seldom,seldom,kiss,kisses,"['the', 'student']","['the', 'student']",1,886,8
887,Those cool tutors sometimes research the mountains nowadays.,That cool tutor sometimes researches the mountains nowadays.,Those tutors,That tutor,Those,That,cool,cool,tutors,tutor,sometimes,sometimes,research,researches,"['the', 'mountains']","['the', 'mountains']",1,887,8
888,That unusual girl seldom approaches the plumbers nowadays.,Those unusual girls seldom approach the plumbers nowadays.,That girl,Those girls,That,Those,unusual,unusual,girl,girls,seldom,seldom,approaches,approach,"['the', 'plumbers']","['the', 'plumbers']",0,888,8
889,That standing girl barely forgets the girl nowadays.,Those standing girls barely forget the girl nowadays.,That girl,Those girls,That,Those,standing,standing,girl,girls,barely,barely,forgets,forget,"['the', 'girl']","['the', 'girl']",0,889,8
891,These fast ladies hardly ascend the slope nowadays.,This fast lady hardly ascends the slope nowadays.,These ladies,This lady,These,This,fast,fast,ladies,lady,hardly,hardly,ascend,ascends,"['the', 'slope']","['the', 'slope']",1,891,8
892,These terrible patients always hug the cashiers nowadays.,This terrible patient always hugs the cashiers nowadays.,These patients,This patient,These,This,terrible,terrible,patients,patient,always,always,hug,hugs,"['the', 'cashiers']","['the', 'cashiers']",1,892,8
893,That bad student rarely investigates the woman nowadays.,Those bad students rarely investigate the woman nowadays.,That student,Those students,That,Those,bad,bad,student,students,rarely,rarely,investigates,investigate,"['the', 'woman']","['the', 'woman']",0,893,8
894,These careless associations sometimes appreciate the adults nowadays.,This careless association sometimes appreciates the adults nowadays.,These associations,This association,These,This,careless,careless,associations,association,sometimes,sometimes,appreciate,appreciates,"['the', 'adults']","['the', 'adults']",1,894,8
897,This employed tutor rarely spends the cash nowadays.,These employed tutors rarely spend the cash nowadays.,This tutor,These tutors,This,These,employed,employed,tutor,tutors,rarely,rarely,spends,spend,"['the', 'cash']","['the', 'cash']",0,897,8
899,These bad donations sometimes worry the customers nowadays.,This bad donation sometimes worries the customers nowadays.,These donations,This donation,These,This,bad,bad,donations,donation,sometimes,sometimes,worry,worries,"['the', 'customers']","['the', 'customers']",1,899,8
900,Those dull senators rarely catch the waiters nowadays.,That dull senator rarely catches the waiters nowadays.,Those senators,That senator,Those,That,dull,dull,senators,senator,rarely,rarely,catch,catches,"['the', 'waiters']","['the', 'waiters']",1,900,8
903,Those important lamps always distract the podiatrist nowadays.,That important lamp always distracts the podiatrist nowadays.,Those lamps,That lamp,Those,That,important,important,lamps,lamp,always,always,distract,distracts,"['the', 'podiatrist']","['the', 'podiatrist']",1,903,8
905,This sick driver ever loves the book nowadays.,These sick drivers ever love the book nowadays.,This driver,These drivers,This,These,sick,sick,driver,drivers,ever,ever,loves,love,"['the', 'book']","['the', 'book']",0,905,8
906,This narrow box barely shocks the doctors nowadays.,These narrow boxes barely shock the doctors nowadays.,This box,These boxes,This,These,narrow,narrow,box,boxes,barely,barely,shocks,shock,"['the', 'doctors']","['the', 'doctors']",0,906,8
907,Those mean waitresses often break the rafts nowadays.,That mean waitress often breaks the rafts nowadays.,Those waitresses,That waitress,Those,That,mean,mean,waitresses,waitress,often,often,break,breaks,"['the', 'rafts']","['the', 'rafts']",1,907,8
908,These dumb hairdressers scarcely question the senators nowadays.,This dumb hairdresser scarcely questions the senators nowadays.,These hairdressers,This hairdresser,These,This,dumb,dumb,hairdressers,hairdresser,scarcely,scarcely,question,questions,"['the', 'senators']","['the', 'senators']",1,908,8
910,These hot partners seldom exit the glaciers nowadays.,This hot partner seldom exits the glaciers nowadays.,These partners,This partner,These,This,hot,hot,partners,partner,seldom,seldom,exit,exits,"['the', 'glaciers']","['the', 'glaciers']",1,910,8
911,Those broad kitchens ever irritate the waiters nowadays.,That broad kitchen ever irritates the waiters nowadays.,Those kitchens,That kitchen,Those,That,broad,broad,kitchens,kitchen,ever,ever,irritate,irritates,"['the', 'waiters']","['the', 'waiters']",1,911,8
912,This careful company always dislikes the projector nowadays.,These careful companies always dislike the projector nowadays.,This company,These companies,This,These,careful,careful,company,companies,always,always,dislikes,dislike,"['the', 'projector']","['the', 'projector']",0,912,8
913,This great fish scarcely ascends the ladder nowadays.,These great fish scarcely ascend the ladder nowadays.,This fish,These fish,This,These,great,great,fish,fish,scarcely,scarcely,ascends,ascend,"['the', 'ladder']","['the', 'ladder']",0,913,8
914,These employed pedestrians rarely kiss the pedestrian nowadays.,This employed pedestrian rarely kisses the pedestrian nowadays.,These pedestrians,This pedestrian,These,This,employed,employed,pedestrians,pedestrian,rarely,rarely,kiss,kisses,"['the', 'pedestrian']","['the', 'pedestrian']",1,914,8
915,That slim electrician rarely sells the mushroom nowadays.,Those slim electricians rarely sell the mushroom nowadays.,That electrician,Those electricians,That,Those,slim,slim,electrician,electricians,rarely,rarely,sells,sell,"['the', 'mushroom']","['the', 'mushroom']",0,915,8
916,This great legislature ever fights the child nowadays.,These great legislatures ever fight the child nowadays.,This legislature,These legislatures,This,These,great,great,legislature,legislatures,ever,ever,fights,fight,"['the', 'child']","['the', 'child']",0,916,8
917,That good museum often buys the screen nowadays.,Those good museums often buy the screen nowadays.,That museum,Those museums,That,Those,good,good,museum,museums,often,often,buys,buy,"['the', 'screen']","['the', 'screen']",0,917,8
919,These youthful tutors always have the muffins nowadays.,This youthful tutor always has the muffins nowadays.,These tutors,This tutor,These,This,youthful,youthful,tutors,tutor,always,always,have,has,"['the', 'muffins']","['the', 'muffins']",1,919,8
920,That brief story rarely scares the men nowadays.,Those brief stories rarely scare the men nowadays.,That story,Those stories,That,Those,brief,brief,story,stories,rarely,rarely,scares,scare,"['the', 'men']","['the', 'men']",0,920,8
922,These excited dermatologists often remember the closets nowadays.,This excited dermatologist often remembers the closets nowadays.,These dermatologists,This dermatologist,These,This,excited,excited,dermatologists,dermatologist,often,often,remember,remembers,"['the', 'closets']","['the', 'closets']",1,922,8
923,Those employed girls scarcely descend the slope nowadays.,That employed girl scarcely descends the slope nowadays.,Those girls,That girl,Those,That,employed,employed,girls,girl,scarcely,scarcely,descend,descends,"['the', 'slope']","['the', 'slope']",1,923,8
924,These sad dentists rarely irritate the teacher nowadays.,This sad dentist rarely irritates the teacher nowadays.,These dentists,This dentist,These,This,sad,sad,dentists,dentist,rarely,rarely,irritate,irritates,"['the', 'teacher']","['the', 'teacher']",1,924,8
927,That obese tutor seldom dislikes the eggplants nowadays.,Those obese tutors seldom dislike the eggplants nowadays.,That tutor,Those tutors,That,Those,obese,obese,tutor,tutors,seldom,seldom,dislikes,dislike,"['the', 'eggplants']","['the', 'eggplants']",0,927,8
928,This old driver hardly eats the cilantro nowadays.,These old drivers hardly eat the cilantro nowadays.,This driver,These drivers,This,These,old,old,driver,drivers,hardly,hardly,eats,eat,"['the', 'cilantro']","['the', 'cilantro']",0,928,8
929,Those damp blouses scarcely hurt the tutor nowadays.,That damp blouse scarcely hurts the tutor nowadays.,Those blouses,That blouse,Those,That,damp,damp,blouses,blouse,scarcely,scarcely,hurt,hurts,"['the', 'tutor']","['the', 'tutor']",1,929,8
930,These smart partners hardly bite the boy nowadays.,This smart partner hardly bites the boy nowadays.,These partners,This partner,These,This,smart,smart,partners,partner,hardly,hardly,bite,bites,"['the', 'boy']","['the', 'boy']",1,930,8
931,That authentic lawyer always steals the screen nowadays.,Those authentic lawyers always steal the screen nowadays.,That lawyer,Those lawyers,That,Those,authentic,authentic,lawyer,lawyers,always,always,steals,steal,"['the', 'screen']","['the', 'screen']",0,931,8
932,That happy lawyer rarely exposes the person nowadays.,Those happy lawyers rarely expose the person nowadays.,That lawyer,Those lawyers,That,Those,happy,happy,lawyer,lawyers,rarely,rarely,exposes,expose,"['the', 'person']","['the', 'person']",0,932,8
935,Those popular ladies scarcely strike the doctor nowadays.,That popular lady scarcely strikes the doctor nowadays.,Those ladies,That lady,Those,That,popular,popular,ladies,lady,scarcely,scarcely,strike,strikes,"['the', 'doctor']","['the', 'doctor']",1,935,8
936,This hot plumber often leaves the cashier nowadays.,These hot plumbers often leave the cashier nowadays.,This plumber,These plumbers,This,These,hot,hot,plumber,plumbers,often,often,leaves,leave,"['the', 'cashier']","['the', 'cashier']",0,936,8
937,Those unusual universities rarely hire the guests nowadays.,That unusual university rarely hires the guests nowadays.,Those universities,That university,Those,That,unusual,unusual,universities,university,rarely,rarely,hire,hires,"['the', 'guests']","['the', 'guests']",1,937,8
938,That tiny doctor often spends the checks nowadays.,Those tiny doctors often spend the checks nowadays.,That doctor,Those doctors,That,Those,tiny,tiny,doctor,doctors,often,often,spends,spend,"['the', 'checks']","['the', 'checks']",0,938,8
939,These terrible apples often confuse the customer nowadays.,This terrible apple often confuses the customer nowadays.,These apples,This apple,These,This,terrible,terrible,apples,apple,often,often,confuse,confuses,"['the', 'customer']","['the', 'customer']",1,939,8
940,These small museums barely embarrass the partner nowadays.,This small museum barely embarrasses the partner nowadays.,These museums,This museum,These,This,small,small,museums,museum,barely,barely,embarrass,embarrasses,"['the', 'partner']","['the', 'partner']",1,940,8
942,This small pedestrian always holds the plate nowadays.,These small pedestrians always hold the plate nowadays.,This pedestrian,These pedestrians,This,These,small,small,pedestrian,pedestrians,always,always,holds,hold,"['the', 'plate']","['the', 'plate']",0,942,8
944,These big handymen sometimes reveal the students nowadays.,This big handyman sometimes reveals the students nowadays.,These handymen,This handyman,These,This,big,big,handymen,handyman,sometimes,sometimes,reveal,reveals,"['the', 'students']","['the', 'students']",1,944,8
945,That popular ballad sometimes upsets the partners nowadays.,Those popular ballads sometimes upset the partners nowadays.,That ballad,Those ballads,That,Those,popular,popular,ballad,ballads,sometimes,sometimes,upsets,upset,"['the', 'partners']","['the', 'partners']",0,945,8
946,That small contractor ever stuns the pedestrian nowadays.,Those small contractors ever stun the pedestrian nowadays.,That contractor,Those contractors,That,Those,small,small,contractor,contractors,ever,ever,stuns,stun,"['the', 'pedestrian']","['the', 'pedestrian']",0,946,8
947,That boring boy often fixes the planes nowadays.,Those boring boys often fix the planes nowadays.,That boy,Those boys,That,Those,boring,boring,boy,boys,often,often,fixes,fix,"['the', 'planes']","['the', 'planes']",0,947,8
948,Those false actors barely spend the coins nowadays.,That false actor barely spends the coins nowadays.,Those actors,That actor,Those,That,false,false,actors,actor,barely,barely,spend,spends,"['the', 'coins']","['the', 'coins']",1,948,8
949,Those dull senators barely strike the girls nowadays.,That dull senator barely strikes the girls nowadays.,Those senators,That senator,Those,That,dull,dull,senators,senator,barely,barely,strike,strikes,"['the', 'girls']","['the', 'girls']",1,949,8
950,That content podiatrist hardly drives the planes nowadays.,Those content podiatrists hardly drive the planes nowadays.,That podiatrist,Those podiatrists,That,Those,content,content,podiatrist,podiatrists,hardly,hardly,drives,drive,"['the', 'planes']","['the', 'planes']",0,950,8
951,These strange associates always cure the students nowadays.,This strange associate always cures the students nowadays.,These associates,This associate,These,This,strange,strange,associates,associate,always,always,cure,cures,"['the', 'students']","['the', 'students']",1,951,8
952,This skinny hairdresser sometimes cleans the cup nowadays.,These skinny hairdressers sometimes clean the cup nowadays.,This hairdresser,These hairdressers,This,These,skinny,skinny,hairdresser,hairdressers,sometimes,sometimes,cleans,clean,"['the', 'cup']","['the', 'cup']",0,952,8
953,This old driver ever kisses the patient nowadays.,These old drivers ever kiss the patient nowadays.,This driver,These drivers,This,These,old,old,driver,drivers,ever,ever,kisses,kiss,"['the', 'patient']","['the', 'patient']",0,953,8
954,That sad lawyer barely cleans the bank nowadays.,Those sad lawyers barely clean the bank nowadays.,That lawyer,Those lawyers,That,Those,sad,sad,lawyer,lawyers,barely,barely,cleans,clean,"['the', 'bank']","['the', 'bank']",0,954,8
955,This unusual associate always investigates the adults nowadays.,These unusual associates always investigate the adults nowadays.,This associate,These associates,This,These,unusual,unusual,associate,associates,always,always,investigates,investigate,"['the', 'adults']","['the', 'adults']",0,955,8
956,This careless government scarcely insults the lawyer nowadays.,These careless governments scarcely insult the lawyer nowadays.,This government,These governments,This,These,careless,careless,government,governments,scarcely,scarcely,insults,insult,"['the', 'lawyer']","['the', 'lawyer']",0,956,8
957,Those strange electricians scarcely meet the oncologist nowadays.,That strange electrician scarcely meets the oncologist nowadays.,Those electricians,That electrician,Those,That,strange,strange,electricians,electrician,scarcely,scarcely,meet,meets,"['the', 'oncologist']","['the', 'oncologist']",1,957,8
958,These elderly podiatrists sometimes embarrass the waitress nowadays.,This elderly podiatrist sometimes embarrasses the waitress nowadays.,These podiatrists,This podiatrist,These,This,elderly,elderly,podiatrists,podiatrist,sometimes,sometimes,embarrass,embarrasses,"['the', 'waitress']","['the', 'waitress']",1,958,8
960,Those gray windows seldom overwhelm the men nowadays.,That gray window seldom overwhelms the men nowadays.,Those windows,That window,Those,That,gray,gray,windows,window,seldom,seldom,overwhelm,overwhelms,"['the', 'men']","['the', 'men']",1,960,8
961,These strange legislatures ever admire the pedestrians nowadays.,This strange legislature ever admires the pedestrians nowadays.,These legislatures,This legislature,These,This,strange,strange,legislatures,legislature,ever,ever,admire,admires,"['the', 'pedestrians']","['the', 'pedestrians']",1,961,8
963,These young teachers barely visit the ladies nowadays.,This young teacher barely visits the ladies nowadays.,These teachers,This teacher,These,This,young,young,teachers,teacher,barely,barely,visit,visits,"['the', 'ladies']","['the', 'ladies']",1,963,8
964,Those broad skateboards scarcely bother the electricians nowadays.,That broad skateboard scarcely bothers the electricians nowadays.,Those skateboards,That skateboard,Those,That,broad,broad,skateboards,skateboard,scarcely,scarcely,bother,bothers,"['the', 'electricians']","['the', 'electricians']",1,964,8
965,These mean dermatologists scarcely scan the story nowadays.,This mean dermatologist scarcely scans the story nowadays.,These dermatologists,This dermatologist,These,This,mean,mean,dermatologists,dermatologist,scarcely,scarcely,scan,scans,"['the', 'story']","['the', 'story']",1,965,8
967,Those cruel teachers rarely sing the aria nowadays.,That cruel teacher rarely sings the aria nowadays.,Those teachers,That teacher,Those,That,cruel,cruel,teachers,teacher,rarely,rarely,sing,sings,"['the', 'aria']","['the', 'aria']",1,967,8
968,These standing students always approach the teenagers nowadays.,This standing student always approaches the teenagers nowadays.,These students,This student,These,This,standing,standing,students,student,always,always,approach,approaches,"['the', 'teenagers']","['the', 'teenagers']",1,968,8
969,Those dry waitresses seldom remember the teacher nowadays.,That dry waitress seldom remembers the teacher nowadays.,Those waitresses,That waitress,Those,That,dry,dry,waitresses,waitress,seldom,seldom,remember,remembers,"['the', 'teacher']","['the', 'teacher']",1,969,8
971,That false associate hardly breaks the fork nowadays.,Those false associates hardly break the fork nowadays.,That associate,Those associates,That,Those,false,false,associate,associates,hardly,hardly,breaks,break,"['the', 'fork']","['the', 'fork']",0,971,8
972,This lost slope ever shocks the driver nowadays.,These lost slopes ever shock the driver nowadays.,This slope,These slopes,This,These,lost,lost,slope,slopes,ever,ever,shocks,shock,"['the', 'driver']","['the', 'driver']",0,972,8
975,This careful government hardly praises the senators nowadays.,These careful governments hardly praise the senators nowadays.,This government,These governments,This,These,careful,careful,government,governments,hardly,hardly,praises,praise,"['the', 'senators']","['the', 'senators']",0,975,8
977,Those great hills hardly impress the guest nowadays.,That great hill hardly impresses the guest nowadays.,Those hills,That hill,Those,That,great,great,hills,hill,hardly,hardly,impress,impresses,"['the', 'guest']","['the', 'guest']",1,977,8
978,This small doctor ever worries the partner nowadays.,These small doctors ever worry the partner nowadays.,This doctor,These doctors,This,These,small,small,doctor,doctors,ever,ever,worries,worry,"['the', 'partner']","['the', 'partner']",0,978,8
979,That ill electrician always attacks the plumber nowadays.,Those ill electricians always attack the plumber nowadays.,That electrician,Those electricians,That,Those,ill,ill,electrician,electricians,always,always,attacks,attack,"['the', 'plumber']","['the', 'plumber']",0,979,8
981,Those content partners seldom throw the glasses nowadays.,That content partner seldom throws the glasses nowadays.,Those partners,That partner,Those,That,content,content,partners,partner,seldom,seldom,throw,throws,"['the', 'glasses']","['the', 'glasses']",1,981,8
982,This unusual ship seldom hinders the doctors nowadays.,These unusual ships seldom hinder the doctors nowadays.,This ship,These ships,This,These,unusual,unusual,ship,ships,seldom,seldom,hinders,hinder,"['the', 'doctors']","['the', 'doctors']",0,982,8
983,That young dermatologist rarely freezes the beers nowadays.,Those young dermatologists rarely freeze the beers nowadays.,That dermatologist,Those dermatologists,That,Those,young,young,dermatologist,dermatologists,rarely,rarely,freezes,freeze,"['the', 'beers']","['the', 'beers']",0,983,8
984,That unattractive customer barely forgets the teacher nowadays.,Those unattractive customers barely forget the teacher nowadays.,That customer,Those customers,That,Those,unattractive,unattractive,customer,customers,barely,barely,forgets,forget,"['the', 'teacher']","['the', 'teacher']",0,984,8
985,Those beautiful dermatologists always approach the teachers nowadays.,That beautiful dermatologist always approaches the teachers nowadays.,Those dermatologists,That dermatologist,Those,That,beautiful,beautiful,dermatologists,dermatologist,always,always,approach,approaches,"['the', 'teachers']","['the', 'teachers']",1,985,8
986,Those displeased dancers scarcely fight the waitresses nowadays.,That displeased dancer scarcely fights the waitresses nowadays.,Those dancers,That dancer,Those,That,displeased,displeased,dancers,dancer,scarcely,scarcely,fight,fights,"['the', 'waitresses']","['the', 'waitresses']",1,986,8
987,This confident boy barely admires the print nowadays.,These confident boys barely admire the print nowadays.,This boy,These boys,This,These,confident,confident,boy,boys,barely,barely,admires,admire,"['the', 'print']","['the', 'print']",0,987,8
988,This important story ever scares the waitress nowadays.,These important stories ever scare the waitress nowadays.,This story,These stories,This,These,important,important,story,stories,ever,ever,scares,scare,"['the', 'waitress']","['the', 'waitress']",0,988,8
989,These unsure contractors often grow the spinach nowadays.,This unsure contractor often grows the spinach nowadays.,These contractors,This contractor,These,This,unsure,unsure,contractors,contractor,often,often,grow,grows,"['the', 'spinach']","['the', 'spinach']",1,989,8
990,That unusual floor ever irritates the dentists nowadays.,Those unusual floors ever irritate the dentists nowadays.,That floor,Those floors,That,Those,unusual,unusual,floor,floors,ever,ever,irritates,irritate,"['the', 'dentists']","['the', 'dentists']",0,990,8
991,Those clever students often sell the photograph nowadays.,That clever student often sells the photograph nowadays.,Those students,That student,Those,That,clever,clever,students,student,often,often,sell,sells,"['the', 'photograph']","['the', 'photograph']",1,991,8
992,That important oncologist often breeds the dogs nowadays.,Those important oncologists often breed the dogs nowadays.,That oncologist,Those oncologists,That,Those,important,important,oncologist,oncologists,often,often,breeds,breed,"['the', 'dogs']","['the', 'dogs']",0,992,8
